kata_tidak_baku,kata_baku
keamananya,keamanannya
dng,dengan
berhentistanby,berhenti siaga
kangen,rindu
setengahsetengah,setengah-setengah
diaplikasi,di aplikasi
omam,tidak terdeteksi
titiktolong,titik tolong
akuratkarna,akurat karena
jauhmenyesatkan,jauh menyesatkan
donwload,unduh
ngoco,ngacau
bergunah,berguna
blue,biru
dot,titik
kulon,barat
akurt,akurat
streat,jalan
disesatin,disesatkan
matamata,mata-mata
sangatembantu,sangat membantu
shibal,sialan
petanyagogle,peta google
stabilkarna,stabil karena
trontonbus,tronton bus
rekomen,rekomendasi
gc,gerak cepat
kehambat,terhambat
kuatin,perkuat
ayas,saya
upas,tidak terdeteksi
lolo,lola
ngadonglod,mengunduh
gopet,tidak terdeteksi
gelo,gila
ngabisin,menghabiskan
gonta,ganti
dipeta,di peta
handset,pelantang telinga
routing,perutean
driveraplikasi,pengemudi aplikasi
pulikan,pulihkan
shareloc,bagikan lokasi
sanhat,sangat
hsilnya,hasilnya
crazy,gila
though,meskipun
distance,jarak
gets,mendapat
further,lebih jauh
membantutlg,membantu tolong
abal,abal-abal
gta,grand theft auto
opmom,tidak terdeteksi
maksoh,maksud
onlinengaruh,daring pengaruh
sayatolong,saya tolong
qualitas,kualitas
rusakdibawa,rusak dibawa
ratingnya,peringkatnya
lemotkalibrasi,lambat kalibrasi
akuratsampai,akurat sampai
mola,mula
anyel,kesal
wasalamualaikum,assalamualaikum
gogopower,gogo power
mudasekali,mudah sekali
garagara,gara-gara
titiktanda,titik tanda
duradaniduta,tidak terdeteksi
bq,tidak terdeteksi
example,contoh
kecilsejenis,kecil sejenis
aylaharus,ayolah harus
kontor,kantor
kemudan,kemudian
btg,batang
gd,gede
smngat,semangat
brengsek,berengsek
disekitarnya,di sekitarnya
tangsel,tangerang selatan
kalibasi,kalibrasi
persemester,per semester
tentukantambah,tentukan tambah
malh,malah
sihmasa,sih masa
kopas,salin tempel
jelastujuan,jelas tujuan
hadehgmn,aduh bagaimana
begitumending,begitu lebih baik
fermom,tidak terdeteksi
kelihatanya,kelihatannya
akurattelat,akurat terlambat
belokngacobelok,belok ngaco belok
mobilmotororangdengan,mobil motor orang dengan
manualseperti,manual seperti
education,pendidikan
kecilin,perkecil
almakhdi,al mahdi
visit,kunjung
hair,rambut
pleasure,senang
grets,bagus
warmly,hangat
space,ruang
fels,terasa
cozy,nyaman
kepental,terlempar
aslinyaparah,aslinya parah
mengada,mengada-ada
ngadatitik,mengada titik
akurattitik,akurat titik
zsetelah,setelah
cal,panggil
ternyanta,ternyata
menitjauh,menit jauh
desakarena,desa karena
awesome,luar biasa
excelent,unggul
felem,film
boke,tidak punya uang
prentejau,pratinjau
didowload,diunduh
tebaktebakan,tebak-tebakan
datangiini,datangi ini
luarbiasa,luar biasa
toadi,tadi
music,musik
kelasik,klasik
pasbanget,pas banget
point,titik
bangunanaku,bangunan aku
nilaseandainy,nila seandainya
turung,turun
lokasiadaka,lokasi adakah
masala,masalah
kembalin,kembalikan
tebaek,terbaik
peremajan,peremajaan
initerim,ini terima
narusuki,tidak terdeteksi
updatetempat,perbarui tempat
jugadi,juga di
dlo,dahulu
pua,puas
nuntut,menuntut
seakam,seakan
numpang,menumpang
pokona,pokoknya
sensara,sengsara
buk,bukan
polantas,polisi lalu lintas
gadoh,gaduh
seringsting,sering seting
mobilbanyak,mobil banyak
sesatyg,sesat yang
kecelakanklu,kecelakaan kalau
mang,abang
mobiljng,mobil jangan
stng,setengah
kakipercuma,kaki percuma
digunakanhapus,digunakan hapus
stingan,setelan
jelasmenghindari,jelas menghindari
fatalsoalnya,fatal soalnya
nyawatolong,nyawa tolong
tlng,tolong
bisq,bisa
